an_entry_id,an_collector_person_id,clctr_name,is_couple,an_person_id
ACE244,ACPE244b,Janet Fishman,1,APE114
ACE245,ACPE245a,Marie-Françoise Fuchs,1,APE115
ACE245,ACPE245b,Gilles Fuchs,1,APE116
ACE247,ACPE247a,Jacques Hachuel,1,APE117
ACE247,ACPE247b,Marta Hachuel,1,APE118
ACE249,ACPE249a,Jean Christophe Julian,1,APE119
ACE249,ACPE249b,Nicole Julian,1,APE120
ACE252,ACPE252a,Richard Lane,1,APE121
ACE252,ACPE252b,Barbara Lane,1,APE122
ACE256,ACPE256a,Jan Mayer,1,APE123
ACE256,ACPE256b,Frederick Mayer,1,APE124
ACE262,ACPE262a,Betty Rudman,1,APE125
ACE262,ACPE262b,Isaac Rudman,1,APE126
ACE270,ACPE270a,Thurston Twigg-Smith,1,APE127
ACE270,ACPE270b,Laila Twigg-Smith,1,APE128
ACE271,ACPE271a,Carl Vogel,1,APE129
ACE271,ACPE271b,Carin Vogel,1,APE130
ACE273,ACPE273a,John Weber,1,APE131
ACE273,ACPE273b,Charlotte Colket Weber,1,APE132
ACE274,ACPE274a,Leon Levy White,1,APE133
ACE274,ACPE274b,Shelby White,1,APE134
ACE277,ACPE277a,Frits Becht,1,APE135
ACE277,ACPE277b,Agnes Becht,1,APE136
ACE278,ACPE278a,Marchesa Marida Berlingieri,1,APE137
ACE278,ACPE278b,Marchese Annibale Berlingieri,1,APE138
ACE281,ACPE281a,Miguel Angel Capriles,1,APE139
ACE281,ACPE281b,Magaly Capriles,1,APE140
ACE286,ACPE286a,Doris Fisher,1,APE141
ACE286,ACPE286b,Donald Fisher,1,APE142
ACE287,ACPE287a,Franz Josef van der Grinten,1,APE143
ACE287,ACPE287b,Hans van der Grinten,1,APE144
ACE290,ACPE290a,Rolf Hoffman,1,APE145
ACE290,ACPE290b,Erika Hoffmann,1,APE146
ACE291,ACPE291a,David Mirvish,1,APE147
ACE291,ACPE291b,Audrey Mirvish,1,APE148
ACE295,ACPE295a,Marie-Thérèse Perrin,1,APE149
ACE295,ACPE295b,Alain-Dominique Perrin,1,APE150
ACE296,ACPE296a,Jesús de Polanco,1,APE151
ACE296,ACPE296b,Mariluz Barreiros,1,APE152
ACE297,ACPE297a,Véronique Prat,1,APE153
ACE297,ACPE297b,Louis-Antoine Prat,1,APE154
ACE298,ACPE298a,David Rockefeller,1,APE155
ACE298,ACPE298b,Peggy Rockefeller,1,APE156
ACE299,ACPE299a,Mera Rubell,1,APE157
ACE299,ACPE299b,Donald Rubell,1,APE158
ACE304,ACPE304a,Joey Tanenbaum,1,APE159
ACE304,ACPE304b,Toby Tanenbaum,1,APE160
ACE305,ACPE305a,Daniel Terra,1,APE161
ACE305,ACPE305b,Judith Terra,1,APE162
ACE308,ACPE308a,Reba Williams,1,APE163
ACE308,ACPE308b,Dave H. Williams,1,APE164
ACE309,ACPE309a,George Abrams,1,APE165
ACE309,ACPE309b,Maida Abrams,1,APE166
ACE311,ACPE311a,Monique Barbier-Mueller,1,APE167
ACE311,ACPE311b,Jean Paul Barbier-Mueller,1,APE168
ACE313,ACPE313a,Vivian Campbell,1,APE169
ACE313,ACPE313b,David Campbell,1,APE170
ACE320,ACPE320a,Carrie Lehrman,1,APE171
ACE320,ACPE320b,Robert Lehrman,1,APE172
ACE321,ACPE321a,Ann Pizzuti,1,APE173
ACE321,ACPE321b,Ron Pizzuti,1,APE174
ACE322,ACPE322a,John Powers,1,APE175
ACE322,ACPE322b,Kimiko Powers,1,APE176
ACE323,ACPE323a,Lila  Silverman,1,APE177
ACE323,ACPE323b,Gilbert B. Silverman,1,APE178
ACE325,ACPE325a,Maria Nieves Noriega de Autrey,1,APE179
ACE325,ACPE325b,Sergio Autrey,1,APE180
ACE326,ACPE326a,David Barclay,1,APE181
ACE326,ACPE326b,Frederick Barclay,1,APE182
ACE327,ACPE327a,Clyde Beswick,1,APE183
ACE327,ACPE327b,Karin Beswick,1,APE184
ACE328,ACPE328a,John Garland Bowes,1,APE185
ACE328,ACPE328b,Frances Bowes,1,APE186
ACE329,ACPE329a,Rosa de la Cruz,1,APE187
ACE329,ACPE329b,Carlos de la Cruz,1,APE188
ACE330,ACPE330a,Kenneth Dayton,1,APE189
ACE330,ACPE330b,Judy Dayton,1,APE190
ACE331,ACPE331a,Anne Ehrenkranz,1,APE191
ACE331,ACPE331b,Joel S. Ehrenkranz,1,APE192
ACE333,ACPE333a,Anna Froehlich,1,APE193
ACE333,ACPE333b,Josef Froehlich,1,APE194
ACE335,ACPE335a,Marsha Glazer,1,APE195
ACE335,ACPE335b,Jay Glazer,1,APE196
ACE336,ACPE336a,Martine Guichard,1,APE197
ACE336,ACPE336b,Didier Guichard,1,APE198
ACE339,ACPE339a,Michal Hornstein,1,APE199
ACE339,ACPE339b,Renata Hornstein,1,APE200
ACE340,ACPE340a,Morton L. Janklow,1,APE201
ACE340,ACPE340b,Linda Janklow,1,APE202
ACE343,ACPE343a,Barbara Landau,1,APE203
ACE343,ACPE343b,Jon Landau,1,APE204
ACE344,ACPE344a,Thomas H. Lee,1,APE205
ACE344,ACPE344b,Ann Tenenbaum,1,APE206
ACE345,ACPE345a,Peter Ludwig,1,APE207
ACE345,ACPE345b,Irene Ludwig,1,APE208
ACE346,ACPE346a,Ida Maramotti,1,APE209
ACE346,ACPE346b,Achille Maramotti,1,APE210
ACE347,ACPE347a,Michael Ovitz,1,APE211
ACE347,ACPE347b,Judy Ovitz,1,APE212
ACE352,ACPE352a,Ida Sanders,1,APE213
ACE352,ACPE352b,Pieter Sanders,1,APE214
ACE353,ACPE353a,Kim Richter Shirley,1,APE215
ACE353,ACPE353b,Jon Shirley,1,APE216
ACE355,ACPE355a,Blema Steinberg,1,APE217
ACE355,ACPE355b,Arnold Steinberg,1,APE218
ACE356,ACPE356a,Eleonore Stoffel,1,APE219
ACE356,ACPE356b,Michael Stoffel,1,APE220
ACE357,ACPE357a,Norah Stone,1,APE221
ACE357,ACPE357b,Norman Stone,1,APE222
ACE358,ACPE358a,Kenneth Thomson,1,APE223
ACE358,ACPE358b,Marilyn Thomson,1,APE224
ACE362,ACPE362a,Thomas Bechtler,1,APE225
ACE362,ACPE362b,Cristina Bechtler,1,APE226
ACE366,ACPE366a,Joseph Goldyne,1,APE227
ACE366,ACPE366b,Deborah Sperry Goldyne,1,APE228
ACE371,ACPE371a,Richard Kramlich,1,APE229
ACE371,ACPE371b,Pamela Kramlich,1,APE230
ACE372,ACPE372a,Baroness Marion Lambert,1,APE231
ACE372,ACPE372b,Baron Philippe Lambert,1,APE232
ACE375,ACPE375a,George Roberts,1,APE233
ACE375,ACPE375b,Lee Ann Roberts,1,APE234
ACE379,ACPE379a,Donna Stone,1,APE235
ACE379,ACPE379b,Howard S. Stone,1,APE236
ACE385,ACPE385a,Debra Black,1,APE237
ACE385,ACPE385b,Leon Black,1,APE238
ACE387,ACPE387a,David Bowie,1,APE239
ACE387,ACPE387b,Iman Mohamed Abdulmajid,1,APE240
ACE397,ACPE397a,Bebe Kemper,1,APE241
