an_entry_id,clctr_name,is_couple
ACE179,Stephen Swid,0
ACE180,Yeung Wing Tak,0
ACE181,Masahiro Takano,0
ACE182,A. Alfred Taubman,0
ACE183,Daniel Terra,0
ACE184,Hiroshi Teshigahara,0
ACE185,Hans Thulin,0
ACE186,Baroness Carmen and Baron Hans Heinrich Thyssen-Bornemisza,1
ACE187,Robert Tobin,0
ACE188,T. T. Tsui,0
ACE189,Robert Vivian,0
ACE190,Dorothy and Herbert Vogel,1
ACE191,Joel Wachs,0
ACE192,Jack Warner,0
ACE193,John Weber,0
ACE194,Frederick R. Weisman,0
ACE195,Marcia Weisman,0
ACE196,Leslie Herbert Wexner,0
ACE197,Ian Woodner,0
ACE198,Virginia and Bagley Wright,1
ACE199,Jayne Wrightsman,0
ACE200,Lucio Amelio,0
ACE201,Plácido Arango,0
ACE202,B. Gerald and Iris Cantor,1
ACE203,Marshall S. and Maureen Cogan,1
ACE204,Hélène and Michel Alexandre David-Weill,1
ACE205,Alain Delon,0
ACE206,Daniel Filipacchi,0
ACE207,Chang Tien Ge,0
ACE208,Alex Goulandris,0
ACE209,Basil Goulandris,0
ACE210,Hikonobu Ise,0
ACE211,Katsumi Kawamura,0
ACE212,William Lane,0
ACE213,Joseph Lau,0
ACE214,Micheline Maus,0
ACE215,William Miller,0
ACE216,Tsai Chen Nan,0
ACE217,Masao Nangaku,0
ACE218,Victoria and Samuel I. Newhouse Jr.,1
ACE219,Elie de Rothschild,0
ACE220,Eric de Rothschild,0
ACE221,Ryoei Saito,0
ACE222,Marianne and Alan Schwartz,1
ACE223,Urs Schwartzenbach,0
ACE224,Tsukasa Shishima,0
ACE225,Stuart and Judy Spence,1
ACE226,David Thomson,0
ACE227,Jean Alvarez de Tolédo,0
ACE228,Lois Torf,0
ACE229,Tomonori Tsurumaki,0
ACE230,Sieji Tsutsumi,0
ACE231,Klaus Turbon,0
ACE232,Roberto T. Villanueva,0
ACE233,Hartmut and Silvia Ackermeier,1
ACE234,Jan Ahlers,0
ACE235,Marilynn Alsdorf,0
ACE236,Hans Rasmus Astrup,0
ACE237,Annibale Berlingieri,0
ACE238,Nelson Blitz Jr. and Catherine Woodard,1
ACE239,Janet and Gilbert de Botton,1
ACE240,Gérard and Anne-Marie Boulois,1
ACE241,Edward and Hannah Carter,1
ACE242,Gilberto Chateaubriand,0
ACE243,Paul Desmarais,0
ACE244,Marvin and Janet Fishman,1
ACE245,Marie-Françoise and Gilles Fuchs,1
ACE246,Hans Grothe,0
ACE247,Jacques and Marta Hachuel,1
ACE248,Michael Hornstein,0
ACE249,Jean Christophe and Nicole Julian,1
ACE250,Kwee Liong Keng,0
ACE251,John Kluge,0
ACE252,Richard and Barbara Lane,1
ACE253,Robert Lehrman,0
ACE254,Arthur Lim,0
ACE255,Luella Maslon,0
ACE256,Jan and Frederick Mayer,1
ACE257,Carlo Monzino,0
ACE258,Raymond D. Nasher,0
ACE259,George Ortiz,0
ACE260,"Joseph Pulitzer, Jr.",0
ACE261,J.R. Ritman,0
ACE262,Betty and Isaac Rudman,1
ACE263,Dieter Scharf,0
ACE264,Walther Scharf,0
ACE265,Peter Sharp,0
ACE266,Kenneth Thomson,0
ACE267,George Ti,0
ACE268,Susie Tompkins,0
ACE269,Seiji Tsutsumi,0
ACE270,Thurston and Laila Twigg-Smith,1
ACE271,Carl and Carin Vogel,1
ACE272,Thomas Walther,0
ACE273,John and Charlotte Weber,1
ACE274,Leon Levy and Shelby White,1
