muci1,muci2,museum1,museum2,src,b_same
muci_580,muci_488,Baltic Centre for Contemporary Art,BALTIC Centre for Contemporary Art,geo,1
muci_581,muci_488,Baltic Centre,BALTIC Centre for Contemporary Art,geo,1
muci_584,muci_506,J. Paul Getty Museum,The Getty Museum,geo,1
muci_584,muci_507,J. Paul Getty Museum,The Getty Center,geo,1
muci_591,muci_518,Frick Collection,The Frick Collection,"geo,stringdist",1
muci_597,muci_540,Palace of the Legion of Honor,"California Palace, Legion of Honor",geo,1
muci_605,muci_550,Museo di Rivoli,Castello di Rivoli,geo,1
muci_581,muci_580,Baltic Centre,Baltic Centre for Contemporary Art,geo,1
muci_604,muci_603,Galleria Civica d’Arte Moderna,Galleria Civica,geo,1
muci_563,muci_450,University of Michigan art Museum,University of Michigan,stringdist,1
muci_575,muci_354,Gemäldegalerie Neue Meister,Gemäldegalerie Alte Meister,stringdist,0
muci_563,muci_449,University of Michigan art Museum,University of Michigan Museum,stringdist,1
