muci,museum,city_new,id_city,addr,lat,long,formatted_address,place_id,geometry.location_type,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,partial_match,geometry.bounds.northeast.lat,geometry.bounds.northeast.lng,geometry.bounds.southwest.lat,geometry.bounds.southwest.lng
muci_15,Ullens Center for Contemporary Art,Beijing,city_2,"Ullens Center for Contemporary Art, Beijing",39.983984,116.494837,"4 Jiu Xian Qiao Lu, Chao Yang Qu, Bei Jing Shi, China, 100102",ChIJl3OsUL-r8TURjRjdvXQ_TTE,ROOFTOP,39.983984,116.494837,39.9853321802915,116.496133330292,39.9826342197085,116.493435369709,"XFMV+HW Chaoyang, Beijing, China",8PFRXFMV+HW,,,,,
muci_16,UCCA Center for Contemporary Art,Beijing,city_2,"UCCA Center for Contemporary Art, Beijing",39.983984,116.494837,"4 Jiu Xian Qiao Lu, Chao Yang Qu, Bei Jing Shi, China, 100102",ChIJl3OsUL-r8TURjRjdvXQ_TTE,ROOFTOP,39.983984,116.494837,39.9853321802915,116.496133330292,39.9826342197085,116.493435369709,"XFMV+HW Chaoyang, Beijing, China",8PFRXFMV+HW,,,,,
muci_17,Centro Cultural Banco do Brasil,Belo Horizonte,city_79,"Centro Cultural Banco do Brasil, Belo Horizonte",-19.9321387,-43.9370845,"Praça da Liberdade, 450 - Funcionários, Belo Horizonte - MG, 30140-010, Brazil",ChIJ-y9fS9yZpgARW-N0ni10mlU,ROOFTOP,-19.9321387,-43.9370845,-19.9307941697085,-43.9358980197085,-19.9334921302915,-43.9385959802915,"3397+45 Funcionários, Belo Horizonte - MG, Brazil",58GR3397+45,,,,,
muci_18,Centro Cultural Banco Brasil,Belo Horizonte,city_79,"Centro Cultural Banco Brasil, Belo Horizonte",-19.9321387,-43.9370845,"Praça da Liberdade, 450 - Funcionários, Belo Horizonte - MG, 30140-010, Brazil",ChIJ-y9fS9yZpgARW-N0ni10mlU,ROOFTOP,-19.9321387,-43.9370845,-19.9307941697085,-43.9358980197085,-19.9334921302915,-43.9385959802915,"3397+45 Funcionários, Belo Horizonte - MG, Brazil",58GR3397+45,,,,,
muci_19,Crystal Bridges Museum of American Art,Bentonville,city_36,"Crystal Bridges Museum of American Art, Bentonville",36.3818542,-94.2026525,"Crystal Bridges Museum of American Art, 600 Museum Way, Bentonville, AR 72712, USA",ChIJW5IzxBQayYcROxRb5FkDJq0,ROOFTOP,36.3818542,-94.2026525,36.3887062,-94.1942874,36.376607,-94.2107751,"9QJW+PW Bentonville, AR",86879QJW+PW,,,,,
muci_20,Neues Museum,Berlin,city_48,"Neues Museum, Berlin",52.5201349,13.3976462,"Bodestraße 1-3, 10178 Berlin, Germany",ChIJS8OUk91RqEcRNauNAPV5P40,ROOFTOP,52.5201349,13.3976462,52.5214367302915,13.3995309802915,52.5187387697085,13.3968330197085,"G9CX+33 Berlin, Germany",9F4MG9CX+33,,,,,
muci_21,Pergamonmuseum,Berlin,city_48,"Pergamonmuseum, Berlin",52.521183,13.3969,"Bodestraße 1-3, 10178 Berlin, Germany",ChIJS4MKBSBOqEcRMVSPqUYFOJ0,ROOFTOP,52.521183,13.3969,52.5216634802915,13.3986405302915,52.5189655197085,13.3959425697085,"G9CW+FQ Berlin, Germany",9F4MG9CW+FQ,,,,,
muci_22,Deutsches Historisches Museum,Berlin,city_48,"Deutsches Historisches Museum, Berlin",52.5186138,13.3963598,"Unter den Linden 2, 10117 Berlin, Germany",ChIJnZP4HtxRqEcRw0epcRGQ-_k,ROOFTOP,52.5186138,13.3963598,52.5200321302915,13.3975490802915,52.5173341697085,13.3948511197085,"G99W+CG Berlin, Germany",9F4MG99W+CG,,,,,
muci_23,Humboldt Forum,Berlin,city_48,"Humboldt Forum, Berlin",52.5172522,13.4017087,"Schloßpl., 10178 Berlin, Germany",ChIJ61P_Gt9RqEcR0Zp4VZCfHHw,GEOMETRIC_CENTER,52.5172522,13.4017087,52.5190164,13.4047573,52.5155948,13.3984746,"GC82+WM Berlin, Germany",9F4MGC82+WM,,,,,
muci_24,Guggenheim,Bilbao,city_44,"Guggenheim, Bilbao",43.2686712,-2.9340118,"Abandoibarra Etorb., 2, Abando, 48009 Bilbao, Bizkaia, Spain",ChIJtTFg3t5PTg0RrW2vzbeTiFA,ROOFTOP,43.2686712,-2.9340118,43.2697456302915,-2.9326696197085,43.2670476697085,-2.9353675802915,"7398+F9 Bilbao, Spain",8CMV7398+F9,,,,,
muci_25,Guggenheim Museum Bilbao,Bilbao,city_44,"Guggenheim Museum Bilbao, Bilbao",43.2686712,-2.9340118,"Abandoibarra Etorb., 2, Abando, 48009 Bilbao, Bizkaia, Spain",ChIJtTFg3t5PTg0RrW2vzbeTiFA,ROOFTOP,43.2686712,-2.9340118,43.2697456302915,-2.9326696197085,43.2670476697085,-2.9353675802915,"7398+F9 Bilbao, Spain",8CMV7398+F9,,,,,
muci_26,Museum of Fine Arts,Boston,city_61,"Museum of Fine Arts, Boston",42.339381,-71.094048,"465 Huntington Ave, Boston, MA 02115, USA",ChIJS3rn5w1644kRZNWVxNY_Ay8,ROOFTOP,42.339381,-71.094048,42.3408334802915,-71.0932915,42.3381355197085,-71.0961705,"8WQ4+Q9 Boston, MA",87JC8WQ4+Q9,,,,,
muci_27,"Museum of Fine Arts (MFA), Boston",Boston,city_61,"Museum of Fine Arts (MFA), Boston, Boston",42.339381,-71.094048,"465 Huntington Ave, Boston, MA 02115, USA",ChIJS3rn5w1644kRZNWVxNY_Ay8,ROOFTOP,42.339381,-71.094048,42.3408334802915,-71.0932915,42.3381355197085,-71.0961705,"8WQ4+Q9 Boston, MA",87JC8WQ4+Q9,,,,,
