muci_id,id_af,name_muci,name_af
muci_419,2340,,
muci_421,14095,,
muci_427,nomatch,,
muci_429,nomatch,,
muci_430,nomatch,,
muci_432,nomatch,,
muci_44,nomatch,,
muci_443,nomatch,,
muci_444,nomatch,,
muci_449,nomatch,,
muci_455,nomatch,,
muci_463,2742,,
muci_466,18028,,
muci_47,nomatch,,
muci_470,5446,,
muci_476,3855,,
muci_481,nomatch,,
muci_484,2555,,
muci_49,nomatch,,
muci_490,nomatch,,
muci_491,nomatch,,
muci_492,nomatch,,
muci_493,35824,,
muci_495,nomatch,,
muci_497,3703,,
muci_498,nomatch,,
muci_499,19544,,
muci_503,nomatch,,
muci_512,11546,,
muci_533,nomatch,,
muci_535,nomatch,,
muci_537,2382,,
muci_547,nomatch,,
muci_548,nomatch,,
muci_551,nomatch,,
muci_553,30069,,
muci_554,12539,,
muci_566,1413,,
muci_567,11637,,
muci_567,1583,,
muci_578,nomatch,,
muci_582,3752,,
muci_586,nomatch,,
muci_588,733,,
muci_592,nomatch,,
muci_593,nomatch,,
muci_60,nomatch,,
muci_602,nomatch,,
muci_606,20123,,
muci_607,3162,,
muci_612,2660,,
muci_615,2656,,
muci_62,nomatch,,
muci_623,nomatch,,
muci_631,2351,,
muci_633,nomatch,,
muci_634,nomatch,,
muci_637,nomatch,,
muci_640,2379,,
muci_643,30069,,
muci_657,nomatch,,
muci_667,26395,,
muci_67,39541,,
muci_671,5493,,
muci_676,nomatch,,
muci_677,15194,,
muci_686,nomatch,,
muci_687,nomatch,,
muci_688,nomatch,,
muci_69,nomatch,,
muci_693,nomatch,,
muci_694,nomatch,,
muci_7,nomatch,,
muci_705,nomatch,,
muci_711,nomatch,,
muci_712,nomatch,,
muci_713,nomatch,,
muci_715,nomatch,,
muci_716,nomatch,,
muci_72,30236,,
muci_723,nomatch,,
muci_724,nomatch,,
muci_725,nomatch,,
muci_727,nomatch,,
muci_73,nomatch,,
muci_739,2213,,
muci_740,nomatch,,
muci_742,4972,,
muci_745,nomatch,,
muci_746,12452,,
muci_747,7516,,
muci_748,nomatch,,
muci_757,26400,,
muci_763,nomatch,,
muci_768,2466,,
muci_77,nomatch,,
muci_772,nomatch,,
muci_773,nomatch,,
muci_776,nomatch,,
muci_777,nomatch,,
muci_779,nomatch,,
muci_786,7527,,
muci_787,nomatch,,
muci_791,nomatch,,
muci_793,nomatch,,
muci_801,nomatch,,
muci_804,nomatch,,
muci_807,nomatch,,
muci_813,nomatch,,
muci_814,26399,,
muci_815,nomatch,,
muci_817,nomatch,,
muci_818,nomatch,,
muci_823,nomatch,,
muci_829,nomatch,,
muci_830,10831,,
muci_832,27839,,
muci_833,nomatch,,
muci_841,3711,,
muci_845,nomatch,,
muci_848,nomatch,,
muci_86,nomatch,,
muci_864,nomatch,,
muci_867,nomatch,,
muci_879,nomatch,,
muci_880,nomatch,,
muci_883,2380,,
muci_886,nomatch,,
muci_887,nomatch,,
muci_889,20185,,
muci_891,2470,,
muci_891,2471,,
muci_90,nomatch,,
muci_93,2234,,
